county,state,county_fips,cases_by_county,deaths_by_county,rate_by_county,pop,area,pop_density,cases_per_cap,deaths_per_cap,2016_winner,2016_winner_adj
White,Georgia,13311,1031,24,0.02327837051,30798,242.16,127.2,3348,78,rep,1
Surry,Virginia,51181,142,5,0.03521126761,6422,310.31,20.7,2211,78,dem,0
Camden,Missouri,29029,1675,36,0.02149253731,46305,708.86,65.3,3617,78,rep,1
Black Hawk,Iowa,19013,6352,102,0.01605793451,131228,571.91,229.5,4840,78,dem,0
Hinds,Mississippi,28049,8179,180,0.02200758039,231840,877.35,264.3,3528,78,dem,0
Howard,Nebraska,31093,168,5,0.02976190476,6445,575.74,11.2,2607,78,rep,1
Hillsborough,New Hampshire,33011,5593,323,0.05775075988,417025,892.2,467.4,1341,77,rep,1
Mobile,Alabama,1097,17261,320,0.01853890273,413210,1644.02,251.3,4177,77,rep,1
Lincoln,Kentucky,21137,354,19,0.05367231638,24549,336.47,73.0,1442,77,rep,1
Morton,Kansas,20129,62,2,0.03225806452,2587,729.94,3.5,2397,77,rep,1
Macon,Georgia,13193,286,10,0.03496503497,12947,405.95,31.9,2209,77,dem,0
Polk,Tennessee,47139,542,13,0.02398523985,16832,442.35,38.1,3220,77,rep,1
Franklin,Georgia,13119,986,18,0.01825557809,23349,266.37,87.7,4223,77,rep,1
Hamblen,Tennessee,47063,2582,50,0.01936483346,64934,175.77,369.4,3976,77,rep,1
Oconee,Georgia,13219,1125,31,0.02755555556,40280,186.14,216.4,2793,77,rep,1
Comal,Texas,48091,3796,120,0.03161222339,156209,574.59,271.9,2430,77,rep,1
Marion,Ohio,39101,3547,50,0.01409641951,65093,404.15,161.1,5449,77,rep,1
Polk,Nebraska,31143,204,4,0.01960784314,5213,440.72,11.8,3913,77,rep,1
Webster,Georgia,13307,55,2,0.03636363636,2607,210.26,12.4,2110,77,rep,1
Bay,Florida,12005,6866,134,0.01951645791,174705,1033.27,169.1,3930,77,rep,1
Carroll,Maryland,24013,2297,129,0.05616020897,168447,452.4,372.3,1364,77,rep,1
Aransas,Texas,48007,351,18,0.05128205128,23510,527.95,44.5,1493,77,rep,1
Perry,Illinois,17145,485,16,0.03298969072,20916,446.81,46.8,2319,76,rep,1
Jasper,South Carolina,45053,936,23,0.02457264957,30073,699.79,43.0,3112,76,dem,0
Stone,Mississippi,28131,507,14,0.02761341223,18336,448.07,40.9,2765,76,rep,1
DeSoto,Florida,12027,1676,29,0.01730310263,38001,639.5,59.4,4410,76,rep,1
Hardeman,Texas,48197,63,3,0.04761904762,3933,697,5.6,1602,76,rep,1
Mille Lacs,Minnesota,27095,489,20,0.0408997955,26277,681.77,38.5,1861,76,rep,1
Sheridan,North Dakota,38083,57,1,0.01754385965,1315,1005.78,1.3,4335,76,rep,1
Meriwether,Georgia,13199,700,16,0.02285714286,21167,505.34,41.9,3307,76,rep,1
El Paso,Texas,48141,48885,633,0.01294875729,839238,1014.68,827.1,5825,75,dem,0
Noble,Indiana,18113,1348,36,0.02670623145,47744,417.61,114.3,2823,75,rep,1
Scott,Indiana,18143,610,18,0.02950819672,23873,192.73,123.9,2555,75,rep,1
Union,South Dakota,46127,790,12,0.01518987342,15932,467.08,34.1,4959,75,rep,1
Bartholomew,Indiana,18005,1586,63,0.03972257251,83779,409.36,204.7,1893,75,rep,1
Elkhart,Indiana,18039,10224,155,0.01516040689,206341,467.85,441.0,4955,75,rep,1
Sebastian,Arkansas,5131,5045,96,0.01902874133,127827,546.04,234.1,3947,75,rep,1
McDuffie,Georgia,13189,768,16,0.02083333333,21312,266.3,80.0,3604,75,rep,1
Tyrrell,North Carolina,37177,132,3,0.02272727273,4016,600.3,6.7,3287,75,rep,1
Charlton,Georgia,13049,727,10,0.01375515818,13392,782.97,17.1,5429,75,rep,1
Graham,Arizona,4009,1246,29,0.02327447833,38837,4641.14,8.4,3208,75,rep,1
Spartanburg,South Carolina,45083,9290,238,0.0256189451,319785,819.14,390.4,2905,74,rep,1
Moniteau,Missouri,29135,689,12,0.01741654572,16132,418.85,38.5,4271,74,rep,1
Lake,Illinois,17097,21819,518,0.02374077639,696535,1367.95,509.2,3133,74,dem,0
Bradley,Arkansas,5011,373,8,0.02144772118,10763,654.38,16.4,3466,74,rep,1
Chilton,Alabama,1021,1938,33,0.01702786378,44428,700.76,63.4,4362,74,rep,1
Robeson,North Carolina,37155,6133,97,0.01581607696,130625,951.03,137.4,4695,74,rep,1
McDonough,Illinois,17109,818,22,0.02689486553,29682,590.02,50.3,2756,74,rep,1
Lowndes,Georgia,13185,5253,87,0.01656196459,117406,510.63,229.9,4474,74,rep,1
Stonewall,Texas,48433,21,1,0.04761904762,1350,920.23,1.5,1556,74,rep,1
Ottawa,Ohio,39123,649,30,0.04622496148,40525,585.12,69.3,1601,74,rep,1
Walton,Georgia,13297,2660,70,0.02631578947,94593,330.05,286.6,2812,74,rep,1
McCormick,South Carolina,45065,282,7,0.02482269504,9463,393.85,24.0,2980,74,rep,1
Kankakee,Illinois,17091,3682,81,0.02199891363,109862,681.44,161.2,3351,74,rep,1
Rock,Nebraska,31149,59,1,0.01694915254,1357,1011.85,1.3,4348,74,rep,1
Kent,Rhode Island,44003,2566,121,0.04715510522,164292,188.1,873.4,1562,74,rep,1
Kershaw,South Carolina,45055,2521,49,0.01943673146,66551,740.25,89.9,3788,74,rep,1
Putnam,Tennessee,47141,4643,59,0.01270730131,80245,402.56,199.3,5786,74,rep,1
Washington,Alabama,1129,768,12,0.015625,16326,1088.54,15.0,4704,74,rep,1
Atkinson,Georgia,13003,546,6,0.01098901099,8165,344.1,23.7,6687,73,rep,1
Steuben,New York,36101,1058,70,0.06616257089,95379,1404.1,67.9,1109,73,rep,1
Concho,Texas,48095,144,2,0.01388888889,2726,993.69,2.7,5282,73,rep,1
Lenoir,North Carolina,37107,1528,41,0.02683246073,55949,402.09,139.1,2731,73,rep,1
Portsmouth,Virginia,51740,2863,69,0.02410059378,94398,46.62,2024.8,3033,73,dem,0
Choctaw,Mississippi,28019,217,6,0.02764976959,8210,419.81,19.6,2643,73,rep,1
Mercer,Ohio,39107,1752,30,0.01712328767,41172,473.29,87.0,4255,73,rep,1
Stanislaus,California,6099,18725,401,0.02141522029,550660,1514.67,363.6,3400,73,dem,0
Ector,Texas,48135,6547,121,0.01848174737,166223,901.68,184.3,3939,73,rep,1
Erie,Ohio,39043,1263,54,0.04275534442,74266,626.15,118.6,1701,73,rep,1
Campbell,South Dakota,46021,80,1,0.0125,1376,771.34,1.8,5814,73,rep,1
Elmore,Alabama,1051,3309,59,0.01783016017,81209,657.21,123.6,4075,73,rep,1
Rock Island,Illinois,17161,4609,103,0.02234758082,141879,451.16,314.5,3249,73,dem,0
Dallas,Alabama,1047,1906,27,0.01416579224,37196,993.37,37.4,5124,73,dem,0
Chester,Pennsylvania,42029,8223,381,0.04633345494,524989,759.81,690.9,1566,73,dem,0
Ziebach,South Dakota,46137,108,2,0.01851851852,2756,1971.05,1.4,3919,73,rep,1
Henrico,Virginia,51087,6472,240,0.03708281829,330818,244.6,1352.5,1956,73,dem,0
McMinn,Tennessee,47107,1744,39,0.02236238532,53794,432.22,124.5,3242,72,rep,1
Franklin,Washington,53021,5055,69,0.01364985163,95222,1265.35,75.3,5309,72,rep,1
Atascosa,Texas,48013,1287,37,0.02874902875,51153,1235.61,41.4,2516,72,rep,1
Lander,Nevada,32015,110,4,0.03636363636,5532,5519.47,1.0,1988,72,rep,1
Cherokee,Texas,48073,1657,38,0.02293301147,52646,1061.93,49.6,3147,72,rep,1
Berrien,Georgia,13019,594,14,0.02356902357,19397,457.78,42.4,3062,72,rep,1
Yellow Medicine,Minnesota,27173,320,7,0.021875,9709,763.39,12.7,3296,72,rep,1
Clarke,Alabama,1025,1394,17,0.01219512195,23622,1252.51,18.9,5901,72,rep,1
Palo Pinto,Texas,48363,745,21,0.02818791946,29189,985.5,29.6,2552,72,rep,1
Delaware,Indiana,18035,3381,82,0.02425317953,114135,395.92,288.3,2962,72,rep,1
Charles City,Virginia,51036,103,5,0.04854368932,6963,204.22,34.1,1479,72,dem,0
Cass,Indiana,18017,2397,27,0.0112640801,37689,414.92,90.8,6360,72,rep,1
Lexington,South Carolina,45063,9163,214,0.02335479646,298750,757.88,394.2,3067,72,rep,1
Schleicher,Texas,48413,55,2,0.03636363636,2793,1310.65,2.1,1969,72,rep,1
Wilkes,Georgia,13317,331,7,0.02114803625,9777,474,20.6,3385,72,rep,1
Bailey,Texas,48017,311,5,0.01607717042,7000,827.38,8.5,4443,71,rep,1
Erie,New York,36029,13413,654,0.04875866696,918702,1226.89,748.8,1460,71,dem,0
Harris,Georgia,13145,891,25,0.02805836139,35236,472.93,74.5,2529,71,rep,1
Montgomery,Iowa,19137,205,7,0.03414634146,9917,424.81,23.3,2067,71,rep,1
Bexar,Texas,48029,65885,1412,0.02143128178,2003554,1256.66,1594.3,3288,70,dem,0
Los Angeles,California,6037,307618,7071,0.02298630119,10039107,4752.32,2112.5,3064,70,dem,0
Dauphin,Pennsylvania,42043,4960,196,0.03951612903,278299,557.53,499.2,1782,70,dem,0
Randolph,Alabama,1111,859,16,0.01862630966,22722,584.11,38.9,3780,70,rep,1
Iron,Wisconsin,55051,258,4,0.01550387597,5687,919.24,6.2,4537,70,rep,1
Lake,South Dakota,46079,423,9,0.02127659574,12797,575.06,22.3,3305,70,rep,1
Floyd,Iowa,19067,480,11,0.02291666667,15642,501.31,31.2,3069,70,rep,1
Cherry,Nebraska,31031,81,4,0.04938271605,5689,6009.54,0.9,1424,70,rep,1
Lauderdale,Tennessee,47097,1513,18,0.01189689359,25633,507.14,50.5,5903,70,rep,1
Gregg,Texas,48183,3531,87,0.02463891249,123945,276.37,448.5,2849,70,rep,1
Gilmer,Georgia,13123,1132,22,0.01943462898,31369,431.83,72.6,3609,70,rep,1
Polk,Texas,48373,1298,36,0.02773497689,51353,1109.81,46.3,2528,70,rep,1
Cochran,Texas,48079,116,2,0.01724137931,2853,775.31,3.7,4066,70,rep,1
Iroquois,Illinois,17075,539,19,0.03525046382,27114,1118.03,24.3,1988,70,rep,1
Clay,Minnesota,27027,2613,45,0.01722158439,64222,1052.74,61.0,4069,70,rep,1
Isle of Wight,Virginia,51093,882,26,0.02947845805,37109,362.76,102.3,2377,70,rep,1
McDowell,North Carolina,37111,1364,32,0.02346041056,45756,446.41,102.5,2981,70,rep,1
Lucas,Iowa,19117,218,6,0.02752293578,8600,434.17,19.8,2535,70,rep,1
Cape Girardeau,Missouri,29031,3041,55,0.01808615587,78871,586.29,134.5,3856,70,rep,1
Smith,Tennessee,47159,1044,14,0.01340996169,20157,325.35,62.0,5179,69,rep,1
Susquehanna,Pennsylvania,42115,416,28,0.06730769231,40328,832.4,48.4,1032,69,rep,1
Abbeville,South Carolina,45001,801,17,0.02122347066,24527,511.05,48.0,3266,69,rep,1
Hamilton,Florida,12047,907,10,0.01102535832,14428,519.31,27.8,6286,69,rep,1
Tuscaloosa,Alabama,1125,10734,145,0.01350847773,209355,1351.23,154.9,5127,69,rep,1
Trumbull,Ohio,39155,2512,137,0.05453821656,197974,634.72,311.9,1269,69,rep,1
Grant,West Virginia,54023,199,8,0.04020100503,11568,480.19,24.1,1720,69,rep,1
Dimmit,Texas,48127,294,7,0.02380952381,10124,1334.48,7.6,2904,69,dem,0
Washington,North Carolina,37187,264,8,0.0303030303,11580,424.39,27.3,2280,69,dem,0
Ramsey,Minnesota,27123,15139,380,0.02510073321,550321,170.13,3234.7,2751,69,dem,0
Leon,Texas,48289,372,12,0.03225806452,17404,1080.38,16.1,2137,69,rep,1
Tuscola,Michigan,26157,729,36,0.04938271605,52245,913.82,57.2,1395,69,rep,1
Tom Green,Texas,48451,4982,82,0.01645925331,119200,1540.54,77.4,4180,69,rep,1
Schuylkill,Pennsylvania,42107,2152,97,0.04507434944,141359,782.61,180.6,1522,69,rep,1
Tioga,New York,36107,689,33,0.04789550073,48203,522.91,92.2,1429,68,rep,1
Garland,Arkansas,5051,2620,68,0.02595419847,99386,734.57,135.3,2636,68,rep,1
Limestone,Texas,48293,684,16,0.02339181287,23437,933.15,25.1,2918,68,rep,1
Lyon,Iowa,19119,594,8,0.01346801347,11755,587.63,20.0,5053,68,rep,1
Polk,Georgia,13233,1871,29,0.01549973276,42613,312.13,136.5,4391,68,rep,1
Grant,Wisconsin,55043,2101,35,0.01665873394,51439,1183.31,43.5,4084,68,rep,1
Brantley,Georgia,13025,668,13,0.01946107784,19109,447.42,42.7,3496,68,rep,1
Scott,Missouri,29201,1519,26,0.01711652403,38280,426.04,89.9,3968,68,rep,1
Jackson,Tennessee,47087,483,8,0.016563147,11786,319.56,36.9,4098,68,rep,1
Charleston,South Carolina,45019,17384,279,0.01604924068,411406,1358.11,302.9,4226,68,dem,0
Langlade,Wisconsin,55067,1106,13,0.01175406872,19189,887.88,21.6,5764,68,rep,1
Sullivan,Indiana,18153,500,14,0.028,20669,454.04,45.5,2419,68,rep,1
Valley,Montana,30105,381,5,0.01312335958,7396,5061.98,1.5,5151,68,rep,1
Swisher,Texas,48437,161,5,0.03105590062,7397,900.68,8.2,2177,68,rep,1
Anderson,Texas,48001,2979,39,0.01309164149,57735,1077.95,53.6,5160,68,rep,1
Benton,Washington,53005,5512,138,0.02503628447,204390,1760.12,116.1,2697,68,rep,1
Greenville,South Carolina,45045,18021,353,0.01958825814,523542,794.96,658.6,3442,67,rep,1
Glascock,Georgia,13125,60,2,0.03333333333,2971,144.45,20.6,2020,67,rep,1
Perry,Alabama,1105,604,6,0.009933774834,8923,724.08,12.3,6769,67,dem,0
Winnebago,Illinois,17201,11084,190,0.01714182606,282572,519.27,544.2,3923,67,rep,1
Lee,Florida,12071,23588,518,0.02196031881,770577,1211.89,635.8,3061,67,rep,1
Lanier,Georgia,13173,362,7,0.01933701657,10423,199.83,52.2,3473,67,rep,1
Putnam,Florida,12107,2402,50,0.02081598668,74521,827.16,90.1,3223,67,rep,1
DuPage,Illinois,17043,24696,619,0.02506478782,922921,336.55,2742.3,2676,67,dem,0
Bibb,Alabama,1007,873,15,0.01718213058,22394,626.16,35.8,3898,67,rep,1
Lubbock,Texas,48303,19418,208,0.01071171078,310569,900.7,344.8,6252,67,rep,1
Richmond,North Carolina,37153,1453,30,0.02064693737,44829,479.58,93.5,3241,67,rep,1
Liberty,Texas,48291,2305,59,0.02559652928,88219,1176.22,75.0,2613,67,rep,1
Clark,Nevada,32003,82362,1515,0.01839440519,2266715,8090.66,280.2,3634,67,dem,0
Okfuskee,Oklahoma,40107,573,8,0.01396160558,11993,628.91,19.1,4778,67,rep,1
Hood,Texas,48221,1233,41,0.03325223033,61643,436.8,141.1,2000,67,rep,1
Collier,Florida,12021,14587,256,0.01754987317,384902,2304.93,167.0,3790,67,rep,1
White,Indiana,18181,686,16,0.02332361516,24102,508.8,47.4,2846,66,rep,1
Kent,Delaware,10001,3569,120,0.03362286355,180786,800.12,225.9,1974,66,rep,1
Bowman,North Dakota,38011,146,2,0.01369863014,3024,1166.99,2.6,4828,66,rep,1
Harrisonburg,Virginia,51660,3127,35,0.01119283658,53016,17.59,3014.0,5898,66,dem,0
Shawano,Wisconsin,55115,2654,27,0.01017332329,40899,909.33,45.0,6489,66,rep,1
Chatham,Georgia,13051,9637,191,0.01981944589,289430,632.28,457.8,3330,66,dem,0
Walker,Georgia,13295,1954,46,0.02354145343,69761,447.03,156.1,2801,66,rep,1
Kane,Illinois,17089,18030,351,0.01946755408,532403,524.08,1015.9,3387,66,dem,0
Union,South Carolina,45087,776,18,0.02319587629,27316,515.92,52.9,2841,66,rep,1
Horry,South Carolina,45051,12591,233,0.01850528155,354081,1254.96,282.1,3556,66,rep,1
Wayne,North Carolina,37191,4720,81,0.01716101695,123131,556.69,221.2,3833,66,rep,1
Allamakee,Iowa,19005,428,9,0.02102803738,13687,658.71,20.8,3127,66,rep,1
Manassas,Virginia,51683,2059,27,0.01311316173,41085,9.96,4125.0,5012,66,dem,0
Evans,Georgia,13109,516,7,0.01356589147,10654,186.88,57.0,4843,66,rep,1
McDonald,Missouri,29119,1328,15,0.01129518072,22837,539.7,42.3,5815,66,rep,1
Richland,South Carolina,45079,17531,273,0.01557241458,415759,771.72,538.7,4217,66,dem,0
Fayette,Tennessee,47047,1785,27,0.01512605042,41133,706.23,58.2,4340,66,rep,1
Charlottesville,Virginia,51540,1619,31,0.01914762199,47266,10.26,4606.8,3425,66,dem,0
Dubois,Indiana,18037,1621,28,0.01727328809,42736,435.23,98.2,3793,66,rep,1
Allen,Indiana,18003,9523,248,0.02604221359,379299,660.1,574.6,2511,65,rep,1
Grant,Indiana,18053,1894,43,0.0227032735,65769,414.83,158.5,2880,65,rep,1
Dixie,Florida,12029,903,11,0.01218161683,16826,863.66,19.5,5367,65,rep,1
Colfax,Nebraska,31037,964,7,0.007261410788,10709,418.58,25.6,9002,65,rep,1
Bell,Kentucky,21013,783,17,0.02171136654,26032,361.35,72.0,3008,65,rep,1
Franklin,Texas,48159,223,7,0.03139013453,10725,294.77,36.4,2079,65,rep,1
Lane,Kansas,20101,28,1,0.03571428571,1535,717.43,2.1,1824,65,rep,1
Delaware,Oklahoma,40041,1310,28,0.0213740458,43009,792.33,54.3,3046,65,rep,1
Putnam,New York,36079,1845,64,0.03468834688,98320,246.25,399.3,1877,65,rep,1
Arlington,Virginia,51013,4714,154,0.03266864658,236842,25.96,9123.3,1990,65,dem,0
Sumter,Florida,12119,2945,86,0.02920203735,132420,580.31,228.2,2224,65,rep,1
Luzerne,Pennsylvania,42079,5545,206,0.03715058611,317417,907.13,349.9,1747,65,rep,1
Hart,Georgia,13147,621,17,0.02737520129,26205,256.42,102.2,2370,65,rep,1
Marshall,Indiana,18099,1602,30,0.01872659176,46258,449.92,102.8,3463,65,rep,1
San Joaquin,California,6077,22106,494,0.02234687415,762148,1426.25,534.4,2900,65,dem,0
Fentress,Tennessee,47049,957,12,0.01253918495,18523,498.97,37.1,5167,65,rep,1
Briscoe,Texas,48045,25,1,0.04,1546,901.59,1.7,1617,65,rep,1
Columbia,Pennsylvania,42037,1074,42,0.03910614525,64964,489.79,132.6,1653,65,rep,1
Henry,Indiana,18065,1484,31,0.02088948787,47972,394.9,121.5,3093,65,rep,1
Carroll,Iowa,19027,1246,13,0.01043338684,20165,570.24,35.4,6179,64,rep,1
Wilkin,Minnesota,27167,148,4,0.02702702703,6207,751.63,8.3,2384,64,rep,1
Rock,Minnesota,27133,382,6,0.01570680628,9315,482.84,19.3,4101,64,rep,1
Laclede,Missouri,29105,1252,23,0.01837060703,35723,768,46.5,3505,64,rep,1
Wood,Ohio,39173,2751,84,0.03053435115,130817,620.54,210.8,2103,64,rep,1
Rabun,Georgia,13241,438,11,0.02511415525,17137,376.99,45.5,2556,64,rep,1
Carroll,Indiana,18015,379,13,0.03430079156,20257,375.05,54.0,1871,64,rep,1
Harrison,Indiana,18061,883,26,0.02944507361,40515,486.88,83.2,2179,64,rep,1
Carroll,Georgia,13045,4151,77,0.01854974705,119992,503.83,238.2,3459,64,rep,1
Furnas,Nebraska,31065,107,3,0.02803738318,4676,720.51,6.5,2288,64,rep,1
Edgar,Illinois,17045,167,11,0.06586826347,17161,624.18,27.5,973,64,rep,1
Washington,Arkansas,5143,11804,153,0.0129617079,239187,956.01,250.2,4935,64,rep,1
Carter,Tennessee,47019,1745,36,0.02063037249,56391,347.62,162.2,3094,64,rep,1
Washington,Georgia,13303,864,13,0.0150462963,20374,684.37,29.8,4241,64,dem,0
Iosco,Michigan,26069,314,16,0.05095541401,25127,1890.77,13.3,1250,64,rep,1
Cerro Gordo,Iowa,19033,1590,27,0.01698113208,42450,575.12,73.8,3746,64,rep,1
Hillsdale,Michigan,26059,579,29,0.05008635579,45605,607.14,75.1,1270,64,rep,1
Dawson,Nebraska,31047,1349,15,0.01111934766,23595,1019.3,23.1,5717,64,rep,1
Will,Illinois,17197,19946,439,0.02200942545,690743,849.39,813.2,2888,64,dem,0
Rolette,North Dakota,38079,472,9,0.01906779661,14176,939.33,15.1,3330,63,dem,0
Zapata,Texas,48505,358,9,0.0251396648,14179,1058.1,13.4,2525,63,dem,0
Jackson,Mississippi,28059,4940,91,0.01842105263,143617,1043.3,137.7,3440,63,rep,1
Rhea,Tennessee,47143,1165,21,0.01802575107,33167,336.39,98.6,3513,63,rep,1
Henry,Virginia,51089,1384,32,0.02312138728,50557,384.39,131.5,2738,63,rep,1
Tattnall,Georgia,13267,1011,16,0.01582591494,25286,488.22,51.8,3998,63,rep,1
Lancaster,South Carolina,45057,2622,62,0.0236460717,98012,555.29,176.5,2675,63,rep,1
New Castle,Delaware,10003,13192,353,0.0267586416,558753,493.51,1132.2,2361,63,dem,0
Jefferson,Florida,12065,680,9,0.01323529412,14246,636.65,22.4,4773,63,rep,1
Lamar,Mississippi,28073,2380,40,0.01680672269,63343,500.49,126.6,3757,63,rep,1
Milwaukee,Wisconsin,55079,45652,597,0.01307719268,945726,1189.7,794.9,4827,63,dem,0
Denver,Colorado,8031,19538,459,0.02349268093,727211,154.94,4693.5,2687,63,dem,0
Wayne,Ohio,39169,1823,73,0.04004388371,115710,556.31,208.0,1575,63,rep,1
Lincoln,Oklahoma,40081,822,22,0.02676399027,34877,965.62,36.1,2357,63,rep,1
Ellis,Kansas,20051,1447,18,0.01243953006,28553,900.47,31.7,5068,63,rep,1
Bay,Michigan,26017,1602,65,0.04057428215,103126,630.91,163.5,1553,63,rep,1
Henry,Ohio,39069,574,17,0.02961672474,27006,419.98,64.3,2125,63,rep,1
Tulare,California,6107,17852,293,0.01641272687,466195,4839.09,96.3,3829,63,rep,1
Dorchester,South Carolina,45035,4887,102,0.02087170043,162809,576.69,282.3,3002,63,rep,1
McCulloch,Texas,48307,220,5,0.02272727273,7984,1073.35,7.4,2756,63,rep,1
Taney,Missouri,29213,1858,35,0.01883745963,55928,651.48,85.8,3322,63,rep,1
LaSalle,Illinois,17099,2652,68,0.02564102564,108669,1148.04,94.7,2440,63,rep,1
Lawrence,Missouri,29109,1177,24,0.02039082413,38355,613.38,62.5,3069,63,rep,1
Clark,Indiana,18019,3289,74,0.02249923989,118302,376.2,314.5,2780,63,rep,1
Charles,Maryland,24017,3228,102,0.03159851301,163257,643.22,253.8,1977,62,dem,0
Winkler,Texas,48495,153,5,0.03267973856,8010,841.24,9.5,1910,62,rep,1
Morgan,Indiana,18109,1086,44,0.04051565378,70489,409.39,172.2,1541,62,rep,1
Foster,North Dakota,38031,202,2,0.009900990099,3210,646.72,5.0,6293,62,rep,1
Monroe,Tennessee,47123,1546,29,0.01875808538,46545,652.58,71.3,3322,62,rep,1
Brevard,Florida,12009,11743,375,0.03193391808,601942,1556.95,386.6,1951,62,rep,1
Traill,North Dakota,38097,346,5,0.01445086705,8036,862.53,9.3,4306,62,rep,1
Pontotoc,Mississippi,28115,1547,20,0.01292824822,32174,500.99,64.2,4808,62,rep,1
Floyd,Georgia,13115,4275,61,0.01426900585,98498,518.46,190.0,4340,62,rep,1
Benton,Tennessee,47005,440,10,0.02272727273,16160,436.2,37.0,2723,62,rep,1
Smith,Texas,48423,6685,144,0.0215407629,232751,949.45,245.1,2872,62,rep,1
Lake,Florida,12069,8680,227,0.02615207373,367118,1156.4,317.5,2364,62,rep,1
Marion,Illinois,17121,1170,23,0.01965811966,37205,575.71,64.6,3145,62,rep,1
Iowa,Iowa,19095,475,10,0.02105263158,16184,587.35,27.6,2935,62,rep,1
Clinton,Indiana,18023,1040,20,0.01923076923,32399,405.28,79.9,3210,62,rep,1
Greene,North Carolina,37079,966,13,0.01345755694,21069,265.89,79.2,4585,62,rep,1
Okaloosa,Florida,12091,6498,130,0.02000615574,210738,1082,194.8,3083,62,rep,1
Desha,Arkansas,5041,424,7,0.01650943396,11361,819.52,13.9,3732,62,dem,0
Jefferson,Texas,48245,8471,155,0.01829772164,251565,1111.26,226.4,3367,62,rep,1
Pettis,Missouri,29159,1860,26,0.01397849462,42339,686.34,61.7,4393,61,rep,1
Hudspeth,Texas,48229,114,3,0.02631578947,4886,4571.93,1.1,2333,61,rep,1
Barrow,Georgia,13013,2801,51,0.01820778293,83240,162.84,511.2,3365,61,rep,1
Clayton,Georgia,13063,8877,179,0.02016446998,292256,144.28,2025.6,3037,61,dem,0
Shannon,Missouri,29203,262,5,0.01908396947,8166,1003.99,8.1,3208,61,rep,1
Arapahoe,Colorado,8005,13718,402,0.02930456335,656590,805.43,815.2,2089,61,dem,0
Kanabec,Minnesota,27065,244,10,0.04098360656,16337,533.38,30.6,1494,61,rep,1
Pima,Arizona,4019,28598,641,0.02241415484,1047279,9188.83,114.0,2731,61,dem,0
Holmes,Florida,12059,934,12,0.01284796574,19617,488.71,40.1,4761,61,rep,1
Whitfield,Georgia,13313,5672,64,0.01128349788,104628,290.65,360.0,5421,61,rep,1
Sumner,Tennessee,47165,6459,117,0.01811425917,191283,543.12,352.2,3377,61,rep,1
Buena Vista,Iowa,19021,2350,12,0.005106382979,19620,580.07,33.8,11978,61,rep,1
Shelby,Tennessee,47157,37764,573,0.01517318081,937166,783.63,1195.9,4030,61,dem,0
LaPorte,Indiana,18091,2600,67,0.02576923077,109888,613.04,179.3,2366,61,rep,1
Houston,Texas,48225,430,14,0.03255813953,22968,1236.83,18.6,1872,61,rep,1
Hancock,Mississippi,28045,892,29,0.03251121076,47632,552.53,86.2,1873,61,rep,1
Hardin,Texas,48199,1457,35,0.02402196294,57602,897.37,64.2,2529,61,rep,1
Craven,North Carolina,37049,2433,62,0.02548294287,102139,774.14,131.9,2382,61,rep,1
Seward,Kansas,20175,2162,13,0.006012950971,21428,640.51,33.5,10090,61,rep,1
Dearborn,Indiana,18029,1135,30,0.02643171806,49458,307.05,161.1,2295,61,rep,1
Dubuque,Iowa,19061,5769,59,0.01022707575,97311,616.56,157.8,5928,61,rep,1
Phelps,Missouri,29161,916,27,0.02947598253,44573,674.28,66.1,2055,61,rep,1
Grayson,Kentucky,21085,548,16,0.02919708029,26427,510.85,51.7,2074,61,rep,1
Washington,Rhode Island,44009,1335,76,0.05692883895,125577,562.77,223.1,1063,61,dem,0
Madison,Illinois,17119,7694,159,0.0206654536,262966,740.35,355.2,2926,60,rep,1
McLennan,Texas,48309,10316,155,0.01502520357,256623,1060.23,242.0,4020,60,rep,1
Cobb,Georgia,13067,24255,459,0.01892393321,760141,344.51,2206.4,3191,60,dem,0
Cleburne,Alabama,1029,583,9,0.0154373928,14910,561.02,26.6,3910,60,rep,1
Montour,Pennsylvania,42093,309,11,0.0355987055,18230,132.3,137.8,1695,60,rep,1
Morrow,Oregon,41049,557,7,0.01256732496,11603,2048.53,5.7,4800,60,rep,1
Clinton,Iowa,19045,1623,28,0.01725200246,46429,710.19,65.4,3496,60,rep,1
Monroe,West Virginia,54063,264,8,0.0303030303,13275,473.66,28.0,1989,60,rep,1
Cleburne,Arkansas,5023,475,15,0.03157894737,24919,591.91,42.1,1906,60,rep,1
Houston,Georgia,13153,3984,95,0.02384538153,157863,379.83,415.6,2524,60,rep,1
Hancock,Indiana,18059,1370,47,0.03430656934,78168,306.73,254.8,1753,60,rep,1
Gaston,North Carolina,37071,7798,135,0.01731213132,224529,363.54,617.6,3473,60,rep,1
Montgomery,Indiana,18107,721,23,0.0319001387,38338,505.34,75.9,1881,60,rep,1
Wasco,Oregon,41065,358,16,0.04469273743,26682,2395.32,11.1,1342,60,rep,1
Carroll,Arkansas,5015,1039,17,0.01636188643,28380,638.81,44.4,3661,60,rep,1
Robertson,Tennessee,47147,2705,43,0.01589648799,71813,476.67,150.7,3767,60,rep,1
Wyandot,Ohio,39175,331,13,0.03927492447,21772,407.62,53.4,1520,60,rep,1
Broomfield,Colorado,8014,1071,42,0.03921568627,70465,0,n/a,1520,60,dem,0
